[806725]    $DSM0C,055647,+62.25337,+026.07998,88.0,24.0,98.4,0F
[806854]    $DSM10,055647,+62.24567,+026.14227,122.0,0.0,191.2,0F
[806934]    $DSM12,055647,+62.24583,+026.14216,128.0,0.0,156.1,0F
[807141]    $DSM18,055647,+56.62852,+026.07843,84.0,23.0,98.4,0B
[807173]    $DSM19,055647,+62.24344,+026.14602,126.0,1.0,181.4,0F
[807269]    $DSM00,055647,+62.26778,+026.14354,7792.0,89.0,220.8,0F
[807333]    $DSM01,055648,+62.24304,+025.73919,168.0,0.0,0.0,0F
[807605]    $DSM09,055645,+62.26932,+026.14744,7634.0,85.0,233.4,0F
[807652]    $DSM0A,055648,+62.24597,+026.14206,144.0,0.0,0.0,0F
[807685]    $DSM0B,055648,+62.24603,+026.14212,124.0,0.0,109.7,0F
[807717]    $DSM0C,055648,+62.25333,+026.08045,90.0,26.0,99.8,0F
[807861]    $DSM10,055648,+62.24567,+026.14227,122.0,0.0,191.2,0F
[807925]    $DSM12,055648,+62.24583,+026.14216,128.0,0.0,156.1,0F
[808004]    $DSM14,055648,+62.25284,+026.08981,110.0,255.0,357.2,0B
[808036]    $DSM15,055648,+62.24603,+026.14171,126.0,7.0,81.6,0F
[808132]    $DSM18,055648,+62.25347,+026.07888,84.0,23.0,98.4,0F
[808164]    $DSM19,055648,+62.24343,+026.14602,126.0,0.0,168.7,0F
[808276]    $DSM00,055648,+62.26713,+026.14246,7792.0,89.0,219.4,0F
[808340]    $DSM01,055649,+62.24304,+025.73919,168.0,0.0,0.0,0F
[808612]    $DSM09,055647,+62.26788,+026.14454,7626.0,91.0,226.4,0F
[808676]    $DSM0B,055649,+62.24603,+026.14212,124.0,0.0,109.7,0F
[808723]    $DSM0C,055649,+62.25331,+026.08084,90.0,24.0,98.4,0F
[808867]    $DSM10,055649,+62.24567,+026.14227,122.0,0.0,191.2,0F
[808931]    $DSM12,055649,+62.24583,+026.14216,128.0,0.0,156.1,0F
[808995]    $DSM14,055649,+62.25283,+026.09028,112.0,24.0,92.8,0F
[809027]    $DSM15,055649,+62.24603,+026.14184,128.0,7.0,88.6,0F
[809139]    $DSM18,055649,+62.25344,+026.07936,84.0,23.0,98.4,0F
[809171]    $DSM19,055649,+62.24343,+026.14602,126.0,0.0,168.7,0F
[809267]    $DSM00,055649,+62.26645,+026.14143,7790.0,90.0,216.6,0F
[809346]    $DSM01,055650,+62.24304,+025.73919,168.0,0.0,0.0,0F
[809618]    $DSM09,055648,+62.26788,+026.14454,7626.0,91.0,226.4,0F
[809650]    $DSM0A,055650,+62.24597,+026.14206,144.0,0.0,0.0,0F
[809714]    $DSM0C,055650,+62.25328,+026.08118,90.0,17.0,98.4,0F
[809858]    $DSM10,055650,+62.24567,+026.14227,122.0,0.0,191.2,0F
[809922]    $DSM12,055650,+62.24583,+026.14216,128.0,0.0,156.1,0F
[810002]    $DSM14,055650,+62.25283,+026.09073,112.0,24.0,91.4,0F
